bit_index,mac_auroc_all,mac_auroc_novel,axis2_ood_auroc,mac_bit_prevalence
0,,,,0.0
1,,,,0.0
2,,,,0.0
3,,,,0.0
4,,,,0.0
5,,,,0.0
6,,,,0.0
7,,,0.7815087218687786,0.0
8,,,,0.0
9,,,,0.0
10,,,0.6551227773450541,0.0
11,,,,0.0
12,0.894980694980695,0.7602040816326531,0.6367443359229383,0.003207184092366902
13,1.0,,0.645653291611624,0.0006414368184733803
14,0.9223363286264441,0.913265306122449,0.5676603167571159,0.0006414368184733803
15,0.38510911424903727,0.3431122448979592,0.7177243349963398,0.0006414368184733803
16,0.2615681233933162,0.11862244897959184,0.7613501575848763,0.001924310455420141
17,,,0.4317485613103142,0.0
18,,,0.716003103503463,0.0
19,0.43481053307642903,0.47445721583652617,0.6334712624730963,0.0012828736369467607
20,,,0.5991883986274182,0.0
21,0.6131144022322388,0.4587067861715749,0.6894846751138548,0.003848620910840282
22,0.6523875067089111,0.6289679813109798,0.6730047821942915,0.05003207184092367
23,0.7246474986201015,0.5008525149190111,0.6996078974629188,0.01667735728030789
24,0.6690273003832327,0.5707816791626457,0.8330030305157236,0.09172546504169339
25,0.7578676942838793,,0.7652336370449454,0.0012828736369467607
26,,,0.9697392841437156,0.0
27,0.9145793192035967,0.901021711366539,0.5569053140064374,0.0012828736369467607
28,0.8821801566579635,0.9681122448979592,0.8847986926451084,0.01731879409878127
29,0.8258120776106388,0.598974358974359,0.6015401507760602,0.01924310455420141
30,,,0.4358992951719349,0.0
31,0.96660244059088,0.9591836734693878,0.8990244448792519,0.0012828736369467607
32,0.9445302445302445,0.8652618135376757,0.8598093596398644,0.003207184092366902
33,0.7058445728965961,,0.7667382847109235,0.0012828736369467607
34,,,,0.0
35,0.8235633427067561,0.8179354838709677,0.8596400552983766,0.011545862732520847
36,0.6859015516318887,0.441215634056552,0.7649341584149819,0.05708787684413085
37,0.6105627175031189,0.5085368611488014,0.7906653212394759,0.0391276459268762
38,0.8314251537935748,0.9132566069906224,0.6137909822050261,0.012187299550994226
39,0.8042891319207108,0.7730179028132993,0.5831830707191616,0.012187299550994226
40,0.7500358422939069,0.9029374201787995,0.7137454807891754,0.005772931366260423
41,0.737200956937799,0.7212903225806452,0.8873118695138603,0.012187299550994226
42,0.6128398951648648,0.5405546218487395,0.8190400157549618,0.09429121231558692
43,,,0.5377069499778664,0.0
44,,,0.8667943778427004,0.0
45,0.6412066752246469,,0.9626152343886548,0.0006414368184733803
46,0.7087696335078534,0.6024643320363166,0.8556449026415185,0.019884541372674792
47,0.8453436807095344,0.8679577464788732,0.777485520136461,0.026298909557408594
48,0.8220571381794367,0.5957106274007682,0.71318244979161,0.02052597819114817
49,0.625549787295407,0.5732814526588845,0.7621253438963417,0.011545862732520847
50,0.8002032214360981,0.889030612244898,0.8514277043638023,0.01667735728030789
51,0.7393737911025144,0.7403267973856209,0.8073148013297194,0.03527902501603592
52,0.6164387282120611,0.5283490073145245,0.7600393876526897,0.286722257857601
53,0.6609230277866497,0.6316491479534958,0.7436216575172679,0.6760744066709429
54,0.8932594524119948,0.8322676896845695,0.8586956964804985,0.01603592046183451
55,,,0.7136831270760639,0.0
56,0.7058838269934345,0.6295546558704452,0.6878013078108423,0.05195638229634381
57,0.8401629436224736,0.7175096030729834,0.8564296582661196,0.01731879409878127
58,0.6809632799283512,0.42447582370560544,0.8558736519191003,0.008338678640153944
59,0.7985801217038538,0.7551150895140666,0.8586594634948498,0.01860166773572803
60,0.7737435203966644,0.5965473145780051,0.852741209707342,0.01860166773572803
61,0.7704412603364699,0.729380433931229,0.731945995990462,0.0359204618345093
62,0.717866323907455,,0.7159105060647913,0.001924310455420141
63,0.7266759130836802,0.5134043334557473,0.8728959623141781,0.008980115458627326
64,0.7289561606261669,0.6859329104763527,0.8108424415638129,0.2604233483001924
65,0.7825783721599079,0.607693933629254,0.7450168366254304,0.06093649775497113
66,0.8534937376400791,0.8293589743589743,0.863688372437151,0.026940346375881975
67,0.6347472150814053,0.32397959183673475,0.6261707858703109,0.001924310455420141
68,0.6683619550858653,0.6087485681557846,0.7738134757019872,0.028864656831302116
69,0.6745173745173745,0.4336734693877551,0.6891148371272127,0.003207184092366902
70,0.7518942244969642,0.5814151747655584,0.70423586944352,0.01667735728030789
71,0.6788286275911366,0.6189157103284527,0.8406677704658134,0.10262989095574086
72,0.8216695848836362,0.8471510883482715,0.8573207145715068,0.023091725465041693
73,0.7479730668681658,0.7224473345968673,0.6804755249891591,0.25400898011545864
74,0.6406850853548967,0.5458333333333334,0.7371658173182842,0.10198845413726748
75,0.6171174216813162,0.6259959236612933,0.7593762151234342,0.01860166773572803
76,0.6409025417790701,0.5223751871379287,0.8358825760778049,0.2508017960230917
77,0.6256981164129026,0.5735251320001662,0.712135603995397,0.08466966003848621
78,0.7276652112490614,0.6670881807452369,0.7679729149860113,0.6369467607440668
79,0.6140527864194074,0.5071347554059493,0.8243747163274013,0.1930724823604875
80,0.7882495176526598,0.535922181372549,0.8882562839641063,0.03399615137908916
81,0.5995590757078455,0.48980761785639837,0.6688378406287213,0.30532392559332905
82,0.7065590514063312,0.6758865248226951,0.5605536351877629,0.28608082103912763
83,0.6185449577474983,0.5697612612612613,0.7305093815145476,0.6504169339320077
84,0.6049046798616072,0.45827230046948364,0.8217559772303586,0.13598460551635663
85,0.6565944355270197,0.5287097109946919,0.8621670047250861,0.1436818473380372
86,0.8913363372506038,0.8500997257541759,0.9217835568436604,0.042334830019243104
87,0.7003495217071376,0.6309201939213127,0.870612220980435,0.12828736369467608
88,0.6323884359579489,0.55549492807849,0.8522148495554367,0.1892238614496472
89,0.721365853254271,0.6312859798848643,0.6954445907876364,0.72674791533034
90,0.6861002723749573,0.6660178253119429,0.7543522188930426,0.5368826170622194
91,0.6970912149605837,0.5659127663622526,0.7805536748351501,0.6991661321359846
92,0.6510443609500214,0.5430597771023303,0.6866707726144528,0.2379730596536241
93,0.7660887452248015,0.7039531318440648,0.8122392574531311,0.05323925593329057
94,0.7405700487176958,0.6571623521627658,0.7929047349882309,0.7735728030788968
95,0.7233006409011459,0.6857019601499097,0.5688819561322156,0.30468248877485565
96,0.6491585473870681,0.5612290008841734,0.8130699751586489,0.2758178319435536
97,0.6674296836449367,0.5775342077564569,0.6094618346727192,0.10006414368184734
98,0.5985008061580069,0.5310968137254902,0.7588317736697519,0.0327132777421424
99,0.6470844268419715,0.5737289474062055,0.8632007618941715,0.3373957665169981
100,0.7209460796517232,0.6672681419085305,0.2925071979901762,0.15202052597819116
101,0.8412579408737624,0.7367792875504957,0.7445201238065029,0.048749198203976905
102,0.9195995772932988,0.9422827496757459,0.8966532162140775,0.03720333547145606
103,0.692479399101422,0.6051847633233303,0.6782081599636453,0.7190506735086594
