spectrum_id,model,pool,rank,reciprocal_rank,hit_at_1,hit_at_5,seen_in_axis2,adduct,n_peaks
3,fine_tuned,closed,1,1.0,True,True,True,[M+H]+,4
3,fine_tuned,open,1,1.0,True,True,True,[M+H]+,4
3,frozen,closed,596,0.0016778523489932886,False,False,True,[M+H]+,4
3,frozen,open,5768,0.00017337031900138697,False,False,True,[M+H]+,4
4,fine_tuned,closed,1,1.0,True,True,True,[M+H]+,11
4,fine_tuned,open,1,1.0,True,True,True,[M+H]+,11
4,frozen,closed,2,0.5,False,True,True,[M+H]+,11
4,frozen,open,2,0.5,False,True,True,[M+H]+,11
5,fine_tuned,closed,1,1.0,True,True,True,[M+H]+,3
5,fine_tuned,open,1,1.0,True,True,True,[M+H]+,3
5,frozen,closed,10,0.1,False,False,True,[M+H]+,3
5,frozen,open,19,0.05263157894736842,False,False,True,[M+H]+,3
6,fine_tuned,closed,5,0.2,False,True,True,[M+H]+,1
6,fine_tuned,open,5,0.2,False,True,True,[M+H]+,1
6,frozen,closed,29,0.034482758620689655,False,False,True,[M+H]+,1
6,frozen,open,816,0.0012254901960784314,False,False,True,[M+H]+,1
7,fine_tuned,closed,101,0.009900990099009901,False,False,False,[M-NH3+H]+,2
7,fine_tuned,open,1161,0.0008613264427217916,False,False,False,[M-NH3+H]+,2
7,frozen,closed,560,0.0017857142857142857,False,False,False,[M-NH3+H]+,2
7,frozen,open,5441,0.0001837897445322551,False,False,False,[M-NH3+H]+,2
8,fine_tuned,closed,7,0.14285714285714285,False,False,True,[M+H]+,3
8,fine_tuned,open,7,0.14285714285714285,False,False,True,[M+H]+,3
8,frozen,closed,27,0.037037037037037035,False,False,True,[M+H]+,3
8,frozen,open,276,0.0036231884057971015,False,False,True,[M+H]+,3
9,fine_tuned,closed,411,0.0024330900243309003,False,False,True,[M+NH4]+,1
9,fine_tuned,open,2659,0.000376081233546446,False,False,True,[M+NH4]+,1
9,frozen,closed,14,0.07142857142857142,False,False,True,[M+NH4]+,1
9,frozen,open,385,0.0025974025974025974,False,False,True,[M+NH4]+,1
10,fine_tuned,closed,11,0.09090909090909091,False,False,False,[M+H]+,4
10,fine_tuned,open,11,0.09090909090909091,False,False,False,[M+H]+,4
10,frozen,closed,23,0.043478260869565216,False,False,False,[M+H]+,4
10,frozen,open,362,0.0027624309392265192,False,False,False,[M+H]+,4
11,fine_tuned,closed,9,0.1111111111111111,False,False,True,[M+H]+,3
11,fine_tuned,open,9,0.1111111111111111,False,False,True,[M+H]+,3
11,frozen,closed,39,0.02564102564102564,False,False,True,[M+H]+,3
11,frozen,open,1348,0.000741839762611276,False,False,True,[M+H]+,3
12,fine_tuned,closed,9,0.1111111111111111,False,False,True,[M+H]+,4
12,fine_tuned,open,9,0.1111111111111111,False,False,True,[M+H]+,4
12,frozen,closed,25,0.04,False,False,True,[M+H]+,4
12,frozen,open,1175,0.000851063829787234,False,False,True,[M+H]+,4
13,fine_tuned,closed,22,0.045454545454545456,False,False,True,[M-2H2O+H]+,1
13,fine_tuned,open,383,0.0026109660574412533,False,False,True,[M-2H2O+H]+,1
13,frozen,closed,362,0.0027624309392265192,False,False,True,[M-2H2O+H]+,1
13,frozen,open,5634,0.0001774937877174299,False,False,True,[M-2H2O+H]+,1
14,fine_tuned,closed,298,0.003355704697986577,False,False,True,[M+Na]+,16
14,fine_tuned,open,1501,0.0006662225183211193,False,False,True,[M+Na]+,16
14,frozen,closed,82,0.012195121951219513,False,False,True,[M+Na]+,16
14,frozen,open,3212,0.00031133250311332503,False,False,True,[M+Na]+,16
15,fine_tuned,closed,1,1.0,True,True,True,[M+H]+,14
15,fine_tuned,open,1,1.0,True,True,True,[M+H]+,14
15,frozen,closed,8,0.125,False,False,True,[M+H]+,14
15,frozen,open,123,0.008130081300813009,False,False,True,[M+H]+,14
16,fine_tuned,closed,32,0.03125,False,False,False,[M+NH4]+,1
16,fine_tuned,open,968,0.0010330578512396695,False,False,False,[M+NH4]+,1
16,frozen,closed,458,0.002183406113537118,False,False,False,[M+NH4]+,1
16,frozen,open,3353,0.00029824038174768865,False,False,False,[M+NH4]+,1
17,fine_tuned,closed,427,0.00234192037470726,False,False,True,[M+Na]+,1
17,fine_tuned,open,3130,0.0003194888178913738,False,False,True,[M+Na]+,1
17,frozen,closed,377,0.002652519893899204,False,False,True,[M+Na]+,1
17,frozen,open,1787,0.0005595970900951316,False,False,True,[M+Na]+,1
18,fine_tuned,closed,170,0.0058823529411764705,False,False,True,[M+Na]+,2
18,fine_tuned,open,2726,0.00036683785766691124,False,False,True,[M+Na]+,2
18,frozen,closed,95,0.010526315789473684,False,False,True,[M+Na]+,2
18,frozen,open,226,0.004424778761061947,False,False,True,[M+Na]+,2
19,fine_tuned,closed,5,0.2,False,True,True,[M+H]+,6
19,fine_tuned,open,5,0.2,False,True,True,[M+H]+,6
19,frozen,closed,41,0.024390243902439025,False,False,True,[M+H]+,6
19,frozen,open,1018,0.0009823182711198428,False,False,True,[M+H]+,6
20,fine_tuned,closed,1,1.0,True,True,True,[M+H]+,1
20,fine_tuned,open,1,1.0,True,True,True,[M+H]+,1
20,frozen,closed,2,0.5,False,True,True,[M+H]+,1
20,frozen,open,111,0.009009009009009009,False,False,True,[M+H]+,1
21,fine_tuned,closed,5,0.2,False,True,True,[M+Na]+,3
21,fine_tuned,open,588,0.0017006802721088435,False,False,True,[M+Na]+,3
21,frozen,closed,202,0.0049504950495049506,False,False,True,[M+Na]+,3
21,frozen,open,440,0.0022727272727272726,False,False,True,[M+Na]+,3
22,fine_tuned,closed,1,1.0,True,True,True,[M+H]+,3
22,fine_tuned,open,1,1.0,True,True,True,[M+H]+,3
22,frozen,closed,41,0.024390243902439025,False,False,True,[M+H]+,3
22,frozen,open,2054,0.0004868549172346641,False,False,True,[M+H]+,3
23,fine_tuned,closed,1,1.0,True,True,True,[M+H]+,11
23,fine_tuned,open,1,1.0,True,True,True,[M+H]+,11
23,frozen,closed,10,0.1,False,False,True,[M+H]+,11
23,frozen,open,102,0.00980392156862745,False,False,True,[M+H]+,11
24,fine_tuned,closed,7,0.14285714285714285,False,False,True,[M+H]+,1
24,fine_tuned,open,7,0.14285714285714285,False,False,True,[M+H]+,1
24,frozen,closed,570,0.0017543859649122807,False,False,True,[M+H]+,1
24,frozen,open,5652,0.00017692852087756547,False,False,True,[M+H]+,1
