model,pool,subset,n_spectra,n_compounds,acc_at_1,acc_at_5,acc_at_10,median_rank,mrr,mean_rank_percentile,compound_recovery_at_1,compound_recovery_at_5
fine_tuned,closed,all,1559,621,0.0782552918537524,0.14624759461193074,0.18794098781270044,103.0,0.12000404119696423,0.7549539087619459,0.17391304347826086,0.2914653784219002
fine_tuned,closed,seen,774,326,0.15374677002583978,0.26098191214470284,0.31912144702842377,50.0,0.21234880232722436,0.8040359879332656,0.3220858895705521,0.48466257668711654
fine_tuned,closed,novel,785,295,0.003821656050955414,0.033121019108280254,0.05859872611464968,146.0,0.028953283088911604,0.7065596039484409,0.010169491525423728,0.07796610169491526
fine_tuned,open,all,1559,621,0.06927517639512508,0.1205901218729955,0.14753046824887747,1123.0,0.09626458292152698,0.7311590081060797,0.15458937198067632,0.24798711755233493
fine_tuned,open,seen,774,326,0.13695090439276486,0.2222222222222222,0.2661498708010336,373.5,0.17916000900580245,0.7940107801095811,0.2883435582822086,0.4263803680981595
fine_tuned,open,novel,785,295,0.0025477707006369425,0.02038216560509554,0.030573248407643312,1883.0,0.014530748795120318,0.6691879615701434,0.006779661016949152,0.05084745762711865
frozen,closed,all,1559,621,0.010904425914047467,0.0359204618345093,0.06670942912123155,160.0,0.034747717759397244,0.6646633166032829,0.024154589371980676,0.0853462157809984
frozen,closed,seen,774,326,0.01937984496124031,0.05426356589147287,0.0917312661498708,160.5,0.047095221237546975,0.6583901767964371,0.03987730061349693,0.1196319018404908
frozen,closed,novel,785,295,0.0025477707006369425,0.017834394904458598,0.04203821656050955,159.0,0.022573236622979543,0.670848552540224,0.006779661016949152,0.04745762711864407
frozen,open,all,1559,621,0.005131494547787043,0.01860166773572803,0.028864656831302116,2100.0,0.014823197841360927,0.6127345921424348,0.011272141706924315,0.04508856682769726
frozen,open,seen,774,326,0.00904392764857881,0.028423772609819122,0.040051679586563305,2149.0,0.02110499744094979,0.6100770661224282,0.018404907975460124,0.06441717791411043
frozen,open,novel,785,295,0.0012738853503184713,0.008917197452229299,0.017834394904458598,2058.0,0.00862942345909114,0.6153548789443267,0.003389830508474576,0.023728813559322035
