fp_family,fp_display,loss_kind,loss_display,split,split_display,n_pairs,spearman_rho,spearman_pvalue,bonferroni_pvalue,significant_bonferroni_05
ecfp4,ECFP4,bce,BCE,ood,OOD,2048,0.09947042102790733,6.4840546189030724e-06,7.780865542683687e-05,True
ecfp4,ECFP4,cos,Cosine,ood,OOD,2048,0.08366004750545138,0.0001504314343028383,0.0018051772116340595,True
maccs,MACCS,bce,BCE,ood,OOD,153,0.2514144124209806,0.0017195236571558217,0.02063428388586986,True
maccs,MACCS,cos,Cosine,ood,OOD,153,0.39205449802364795,5.392315670657123e-07,6.470778804788548e-06,True
map4,MAP4,bce,BCE,ood,OOD,2048,0.0964011844138895,1.2416842810355488e-05,0.00014900211372426587,True
map4,MAP4,cos,Cosine,ood,OOD,2048,0.05715729879147718,0.009676502367124513,0.11611802840549415,False
ecfp4,ECFP4,bce,BCE,val,Val,2048,0.06365519960690692,0.003953232313662459,0.04743878776394951,True
ecfp4,ECFP4,cos,Cosine,val,Val,2048,0.031235643206186034,0.15764231329735842,1.0,False
maccs,MACCS,bce,BCE,val,Val,152,0.17960812624138342,0.026820834586541713,0.3218500150385005,False
maccs,MACCS,cos,Cosine,val,Val,152,0.24497829111616437,0.002351268333544469,0.02821522000253363,True
map4,MAP4,bce,BCE,val,Val,2048,0.07625352678180441,0.0005528225863162033,0.00663387103579444,True
map4,MAP4,cos,Cosine,val,Val,2048,0.04487840739838692,0.0422805556071075,0.50736666728529,False
