spectrum_id,fold
MassSpecGymID0000001,train
MassSpecGymID0000002,train
MassSpecGymID0000003,train
MassSpecGymID0000004,train
MassSpecGymID0000005,train
MassSpecGymID0000006,train
MassSpecGymID0000007,train
MassSpecGymID0000008,train
MassSpecGymID0000009,train
MassSpecGymID0000010,train
MassSpecGymID0000011,train
MassSpecGymID0000012,ood
MassSpecGymID0000013,ood
MassSpecGymID0000014,ood
MassSpecGymID0000015,ood
MassSpecGymID0000016,ood
MassSpecGymID0000017,ood
MassSpecGymID0000018,ood
MassSpecGymID0000019,ood
MassSpecGymID0000020,ood
MassSpecGymID0000021,ood
MassSpecGymID0000022,ood
MassSpecGymID0000023,ood
MassSpecGymID0000026,ood
MassSpecGymID0000027,ood
MassSpecGymID0000032,ood
MassSpecGymID0000033,ood
MassSpecGymID0000035,ood
MassSpecGymID0000036,ood
MassSpecGymID0000037,ood
MassSpecGymID0000038,ood
MassSpecGymID0000039,ood
MassSpecGymID0000040,ood
MassSpecGymID0000041,ood
MassSpecGymID0000043,ood
MassSpecGymID0000044,ood
MassSpecGymID0000045,ood
MassSpecGymID0000046,ood
MassSpecGymID0000047,ood
MassSpecGymID0000048,ood
MassSpecGymID0000049,ood
MassSpecGymID0000050,ood
MassSpecGymID0000052,train
MassSpecGymID0000053,train
MassSpecGymID0000054,train
MassSpecGymID0000055,train
MassSpecGymID0000056,train
MassSpecGymID0000057,train
MassSpecGymID0000058,train
MassSpecGymID0000059,train
MassSpecGymID0000060,train
MassSpecGymID0000061,train
MassSpecGymID0000062,train
MassSpecGymID0000063,train
MassSpecGymID0000064,train
MassSpecGymID0000065,train
MassSpecGymID0000066,train
MassSpecGymID0000067,train
MassSpecGymID0000068,train
MassSpecGymID0000069,ood
MassSpecGymID0000070,ood
MassSpecGymID0000071,ood
MassSpecGymID0000072,ood
MassSpecGymID0000073,ood
MassSpecGymID0000074,ood
MassSpecGymID0000075,ood
MassSpecGymID0000076,ood
MassSpecGymID0000077,ood
MassSpecGymID0000078,ood
MassSpecGymID0000079,train
MassSpecGymID0000080,train
MassSpecGymID0000081,train
MassSpecGymID0000082,train
MassSpecGymID0000083,train
MassSpecGymID0000084,train
MassSpecGymID0000085,train
MassSpecGymID0000086,train
MassSpecGymID0000087,train
MassSpecGymID0000088,train
MassSpecGymID0000089,id_val
MassSpecGymID0000090,id_val
MassSpecGymID0000091,id_val
MassSpecGymID0000092,id_val
MassSpecGymID0000094,id_val
MassSpecGymID0000095,id_val
MassSpecGymID0000096,id_val
MassSpecGymID0000097,train
MassSpecGymID0000098,id_val
